TimeOfDay	Time	EMG	Ground	ECG
15:42:49.437	0	0	0	0
15:42:49.437	0.0002	0	0	0
15:42:49.437	0.0004	0	0	0
15:42:49.437	0.0006	0	0	0
15:42:49.437	0.0008	0	0	0
15:42:49.438	0.001	0	0	0
15:42:49.438	0.0012	0	0	0
15:42:49.438	0.0014	0	0	0
15:42:49.438	0.0016	0	0	0
15:42:49.438	0.0018	0	0	0
15:42:49.439	0.002	0	0	0
15:42:49.439	0.0022	0	0	0
15:42:49.439	0.0024	0	0	0
15:42:49.439	0.0026	0	0	0
15:42:49.439	0.0028	0	0	0
15:42:49.440	0.003	0	0	0
15:42:49.440	0.0032	0	0	0
15:42:49.440	0.0034	0	0	0
15:42:49.440	0.0036	0	0	0
15:42:49.440	0.0038	0	0	0
15:42:49.441	0.004	0	0	0
15:42:49.441	0.0042	0	0	0
15:42:49.441	0.0044	0	0	0
15:42:49.441	0.0046	0	0	0
15:42:49.441	0.0048	0	0	0
15:42:49.442	0.005	0	0	0
15:42:49.442	0.0052	0	0	0
15:42:49.442	0.0054	0	0	0
15:42:49.442	0.0056	0	0	0
15:42:49.442	0.0058	0	0	0
15:42:49.443	0.006	0	0	0
15:42:49.443	0.0062	0	0	0
15:42:49.443	0.0064	0	0	0
15:42:49.443	0.0066	0	0	0
15:42:49.443	0.0068	0	0	0
15:42:49.444	0.007	0	0	0
15:42:49.444	0.0072	0	0	0
15:42:49.444	0.0074	0	0	0
15:42:49.444	0.0076	0	0	0
15:42:49.444	0.0078	0	0	0
15:42:49.445	0.008	0	0	0
15:42:49.445	0.0082	0	0	0
15:42:49.445	0.0084	0	0	0
15:42:49.445	0.0086	0	0	0
15:42:49.445	0.0088	0	0	0
15:42:49.446	0.009	0	0	0
15:42:49.446	0.0092	0	0	0
15:42:49.446	0.0094	0	0	0
15:42:49.446	0.0096	0	0	0
15:42:49.446	0.0098	0	0	0
15:42:49.447	0.01	0	0	0
15:42:49.447	0.0102	0	0	0
15:42:49.447	0.0104	0	0	0
15:42:49.447	0.0106	0	0	0
15:42:49.447	0.0108	0	0	0
15:42:49.448	0.011	0	0	0
15:42:49.448	0.0112	0	0	0
15:42:49.448	0.0114	0	0	0
15:42:49.448	0.0116	0	0	0
15:42:49.448	0.0118	0	0	0
15:42:49.449	0.012	0	0	0
15:42:49.449	0.0122	0	0	0
15:42:49.449	0.0124	0	0	0
15:42:49.449	0.0126	0	0	0
15:42:49.449	0.0128	0	0	0
15:42:49.450	0.013	0	0	0
15:42:49.450	0.0132	0	0	0
15:42:49.450	0.0134	0	0	0
15:42:49.450	0.0136	0	0	0
15:42:49.450	0.0138	0	0	0
15:42:49.451	0.014	0	0	0
15:42:49.451	0.0142	0	0	0
15:42:49.451	0.0144	0	0	0
15:42:49.451	0.0146	0	0	0
15:42:49.451	0.0148	0	0	0
15:42:49.452	0.015	0	0	0
15:42:49.452	0.0152	0	0	0
15:42:49.452	0.0154	0	0	0
15:42:49.452	0.0156	0	0	0
15:42:49.452	0.0158	0	0	0
15:42:49.453	0.016	0	0	0
15:42:49.453	0.0162	0	0	0
15:42:49.453	0.0164	0	0	0
15:42:49.453	0.0166	0	0	0
15:42:49.453	0.0168	0	0	0
15:42:49.454	0.017	0	0	0
15:42:49.454	0.0172	0	0	0
15:42:49.454	0.0174	0	0	0
15:42:49.454	0.0176	0	0	0
15:42:49.454	0.0178	0	0	0
15:42:49.455	0.018	0	0	0
