Sample1,Sample2,MedianPowerFrequencyDiff,PValue,Significance
1,1,0,1,0
1,2,1.65443414464468,7.66471707750855e-19,1
1,3,0.680795452585517,2.4780144996741e-30,1
1,4,-0.0911704352787037,1.66475800277626e-35,1
1,5,1.57055640805959,1.72949218384204e-16,1
1,6,0.744416548041738,3.64850519199384e-62,1
1,7,0.104321336440076,1.81094687524971e-84,1
1,8,-0.602563470344386,2.30297611013529e-24,1
2,2,0,1,0
2,3,-0.973638692059163,0.000732724799477187,1
2,4,-1.74560457992338,2.529441570508e-06,1
2,5,-0.0838777365850927,0.388709279273836,0
2,6,-0.910017596602943,4.26367680374868e-24,1
2,7,-1.5501128082046,6.3404550551818e-39,1
2,8,-2.25699761498907,0.0458111414710917,1
3,3,0,1,0
3,4,-0.771965887864221,0.214396057198246,0
3,5,0.88976095547407,4.43940057779983e-05,1
3,6,0.0636210954562202,9.46457302250793e-12,1
3,7,-0.576474116145441,1.20378945558185e-23,1
3,8,-1.2833589229299,0.147509123520823,0
4,4,0,1,0
4,5,1.66172684333829,3.57802910631243e-08,1
4,6,0.835586983320441,3.13217645025472e-09,1
4,7,0.19549177171878,5.05636509701165e-19,1
4,8,-0.511393035065682,0.00490142118002692,1
5,5,0,1,0
5,6,-0.82613986001785,1.66355231489803e-27,1
5,7,-1.46623507161951,2.0060063877534e-42,1
5,8,-2.17311987840397,0.00697861304565931,1
6,6,0,1,0
6,7,-0.640095211601661,0.000180543289867373,1
6,8,-1.34698001838612,2.96555669326812e-17,1
7,7,0,1,0
7,8,-0.706884806784462,2.90199266365673e-31,1
8,8,0,1,0
